Main,total_score,high_score,drop_one,total_songs,avg_score,top_three,top_five,main_appearances,total_appearances
2Pac,122,42,80,8,15.25,78,104,18,16
3X Krazy,4,4,0,1,4,4,4,1,1
50 Cent,14,14,0,1,14,14,14,2,2
A Tribe Called Quest,72,32,40,7,10.285714285714286,52,64,12,12
Aceyalone,6,6,0,1,6,6,6,1,1
Afrika Bambaataa,18,18,0,1,18,18,18,2,2
AKA,4,4,0,1,4,4,4,1,1
Akhenaton,2,2,0,1,2,2,2,1,1
Akua Naru,6,6,0,1,6,6,6,1,1
Alchemist,4,4,0,1,4,4,4,1,1
ASAP Rocky,4,4,0,1,4,4,4,1,1
Audio Two,10,10,0,1,10,10,10,1,1
B.G.,10,10,0,1,10,10,10,1,2
BDP,8,8,0,1,8,8,8,1,1
Beastie Boys,6,4,2,2,3,6,6,2,2
Big Daddy Kane,8,8,0,1,8,8,8,1,1
BIG K.R.I.T,6,6,0,1,6,6,6,1,1
Big L,6,6,0,1,6,6,6,1,1
Big Tymers,2,2,0,1,2,2,2,1,1
Black Star,4,4,0,1,4,4,4,1,1
Black Vulcanite,10,10,0,1,10,10,10,1,1
Blackstreet,2,2,0,1,2,2,2,1,1
BOB,6,6,0,1,6,6,6,1,1
Bohan Phoenix,6,6,0,1,6,6,6,1,1
Bone Thugs-N-Harmony,4,4,0,1,4,4,4,1,1
Busta Rhymes,8,8,0,1,8,8,8,1,1
Canibus,8,8,0,1,8,8,8,1,1
Cardi B,10,10,0,1,10,10,10,2,2
Chief Keef,2,2,0,1,2,2,2,1,1
Clipse,32,22,10,2,16,32,32,5,5
Common,10,6,4,3,3.3333333333333335,10,10,3,5
Craig Mack,8,8,0,1,8,8,8,1,1
Cypress Hill,2,2,0,1,2,2,2,1,1
D4L,2,2,0,1,2,2,2,1,1
Das EFX,10,10,0,1,10,10,10,1,1
Das Racist,6,6,0,1,6,6,6,1,1
De La Soul,16,16,0,1,16,16,16,2,2
Dead Prez,16,16,0,1,16,16,16,2,2
Death Grips,4,4,0,1,4,4,4,1,1
Diplomats,2,2,0,1,2,2,2,1,2
Dizzee Rascal,4,4,0,1,4,4,4,1,1
DMX,22,14,8,2,11,22,22,3,3
Double Trouble,10,10,0,1,10,10,10,1,1
